nommuni,2021,2020,2019,2018,2017,2016,2015
Barcelona,21.22583647,"19.35398694",23.74487963,20.50491228,"24.50074772","24.0539692","35.82171426"
Cubelles,14.17388889,NULL,13.60940959,16.84993031,"17.93788856","16.20520661","18.55408696"
Granollers,25.53033149,"24.95270492",28.16605263,26.94690411,"28.91105556","27.20739377","50.38625"
l'Hospitalet de Llobregat,24.3514876,"22.63135359",21.50824841,25.05394203,"24.47468144","23.49120219","27.73239437"
Martorell,20.64882192,"19.85854651",21.07191781,20.27678571,NULL,NULL,NULL
Mataró,18.49186301,"17.41133333",17.08802899,17.11601671,"18.92539726","19.46389041","21.57373626"
Montcada i Reixac,28.48679569,"22.66038554",24.42450617,23.50533512,"23.47086061","23.93561356","28.81463518"
Rubí,21.04372603,"18.61770492",21.04530387,19.55865753,"21.76190083","22.53232877","25.83082418"
Sabadell,27.72065753,"24.21328767",25.50854396,24.26106742,"25.94684066","26.61431319","43.338125"
Sant Adrià  de Besòs,23.4598338,"21.3397541",24.26989041,24.84367123,"25.93865753","26.15300546","28.98943662"
Sant Celoni,20.82780822,"17.54090659",19.35570248,19.35701408,"19.83162088","20.15729282","24.78994505"
Sant Vicenç dels Horts,24.48225,"23.12254795",24.00438356,22.86350829,"28.64618644","29.00856749","33.81096953"
Santa Perpètua de Mogoda,23.79071429,"22.74016393",26.596,24.4450303,"24.72099174","25.09813699","28.71090909"
Terrassa,22.14756164,"21.31423497",22.92756233,21.26442308,"23.30675","29.58","36.285"
Vilafranca del Penedès,17.47720548,"16.04732394",18.5778453,17.23142857,"19.32846154","17.73344353","21.57578947"
AMB,23.33,"20.78",23.74,22.07,"24.85","24.68","32.73"
B30,23.48,"21.95",24.22,22.79,"24.93","26.2","36.91"
RMB,22.31,"20.56",22.62,21.43,"23.64","23.76","31.49"
