CODIMUNI,NOMMUNI,2017_mean,2018_mean,2019_mean,2020_mean
"80018",Abrera,"0.34","0.37","0.43","0.49"
"80142",Aiguafreda,"0.52","0.56","0.54","0.63"
"80039",Alella,"0.35","0.39","0.42","0.45"
,AMB,"0.3","0.33","0.38","0.41"
"80060",Arenys de Mar,"0.35","0.35","0.34","0.37"
"80076",Arenys de Munt,"0.49","0.5","0.52","0.56"
"80095",Argentona,"0.47","0.45","0.5","0.62"
"80137",Avinyonet del Penedès,"0.3","0.4","0.35","0.46"
,B30,"0.35","0.35","0.43","0.5"
"80155",Badalona,"0.22","0.26","0.32","0.34"
"89045",Badia del Vallès,"0.24","0.23","0.28","0.31"
"82520",Barberà del Vallès,"0.21","0.21","0.27","0.34"
"80193",Barcelona,"0.18","0.23","0.27","0.3"
"80207",Begues,"0.48","0.47","0.48","0.54"
"80235",Bigues i Riells,"0.42","0.49","0.49","0.61"
"80291",Cabrera de Mar,"0.39","0.34","0.37","0.48"
"80305",Cabrils,"0.44","0.41","0.44","0.55"
"80333",Caldes de Montbui,"0.41","0.46","0.51","0.61"
"80327",Caldes d'Estrac,"0.32","0.29","0.33","0.41"
"80351",Calella,"0.37","0.42","0.42","0.45"
"80399",Campins,"0.57","0.59","0.59","0.67"
"80403",Canet de Mar,"0.38","0.4","0.38","0.41"
"80410",Canovelles,"0.26","0.31","0.41","0.5"
"80431",Canyelles,"0.3","0.42","0.41","0.4"
"80462",Cardedeu,"0.31","0.33","0.46","0.52"
"80517",Castellar del Vallès,"0.45","0.46","0.5","0.62"
"80543",Castellbisbal,"0.32","0.37","0.42","0.45"
"80556",Castellcir,"0.45","0.58","0.59","0.65"
"80569",Castelldefels,"0.25","0.28","0.32","0.35"
"80581",Castellet i la Gornal,"0.26","0.4","0.38","0.41"
"80641",Castellterþol,"0.44","0.57","0.59","0.65"
"80654",Castellví de la Marca,"0.24","0.4","0.35","0.42"
"80667",Castellví de Rosanes,"0.53","0.49","0.54","0.6"
"82665",Cerdanyola del Vallès,"0.39","0.39","0.46","0.49"
"80689",Cervelló,"0.45","0.44","0.51","0.55"
"80692",Collbató,"0.39","0.43","0.46","0.53"
"80425",Cànoves i Samalús,"0.56","0.56","0.54","0.66"
"80728",Corbera de Llobregat,"0.44","0.43","0.48","0.53"
"80734",Cornellà de Llobregat,"0.13","0.19","0.21","0.25"
"80749",Cubelles,"0.23","0.33","0.35","0.34"
"80752",Dosrius,"0.53","0.54","0.57","0.65"
"81189",el Masnou,"0.18","0.22","0.26","0.26"
"81580",el Papiol,"0.34","0.34","0.42","0.46"
"81640",el Pla del Penedès,"0.18","0.32","0.26","0.43"
"81691",el Prat de Llobregat,"0.15","0.19","0.22","0.22"
"81537",Òrrius,"0.53","0.54","0.57","0.68"
"80765",Esparreguera,"0.38","0.41","0.46","0.55"
"80771",Esplugues de Llobregat,"0.18","0.23","0.3","0.32"
"81347",Figaró-Montmany,"0.55","0.6","0.57","0.7"
"80811",Fogars de Montcl·s,"0.51","0.67","0.64","0.72"
"80850",Font-rubí,"0.26","0.36","0.34","0.44"
"80879",Gallifa,"0.46","0.57","0.55","0.67"
"80898",Gavà,"0.37","0.39","0.42","0.46"
"80919",Gelida,"0.41","0.42","0.46","0.52"
"80958",Granera,"0.43","0.57","0.57","0.66"
"80961",Granollers,"0.25","0.24","0.36","0.43"
"80977",Gualba,"0.55","0.61","0.62","0.68"
"80885",la Garriga,"0.43","0.46","0.48","0.59"
"80945",la Granada,"0.14","0.33","0.24","0.4"
"81056",la Llagosta,"0.2","0.25","0.32","0.33"
"89058",la Palma de Cervelló,"0.43","0.39","0.5","0.54"
"81810",la Roca del Vallès,"0.4","0.41","0.51","0.59"
"80057",l'Ametlla del Vallès,"0.33","0.38","0.46","0.54"
"80272",les Cabanyes,"0.15","0.33","0.23","0.39"
"80863",les Franqueses del Vallès,"0.31","0.35","0.47","0.52"
"81017",l'Hospitalet de Llobregat,"0.1","0.16","0.19","0.2"
"81069",Llinars del Vallès,"0.42","0.45","0.51","0.58"
"81075",Lliçà d'Amunt,"0.34","0.36","0.47","0.55"
"81081",Lliçà de Vall,"0.32","0.3","0.41","0.49"
"81108",Malgrat de Mar,"0.29","0.3","0.31","0.29"
"81141",Martorell,"0.25","0.3","0.35","0.37"
"81154",Martorelles,"0.29","0.28","0.36","0.49"
"81206",Matadepera,"0.48","0.48","0.51","0.63"
"81213",Matar¾,"0.35","0.3","0.34","0.45"
"81228",Mediona,"0.34","0.42","0.47","0.46"
"81234",Molins de Rei,"0.4","0.39","0.46","0.5"
"81249",Mollet del Vallès,"0.24","0.26","0.37","0.44"
"81252",Montcada i Reixac,"0.3","0.34","0.42","0.42"
"81265",Montgat,"0.21","0.26","0.31","0.34"
"81350",Montmeló,"0.24","0.22","0.3","0.39"
"81363",Montornès del Vallès,"0.34","0.33","0.41","0.51"
"81379",Montseny,"0.49","0.66","0.63","0.71"
"81461",Olesa de Bonesvalls,"0.46","0.48","0.47","0.53"
"81477",Olesa de Montserrat,"0.39","0.39","0.44","0.58"
"81483",Olivella,"0.4","0.45","0.44","0.48"
"81458",Olèrdola,"0.26","0.41","0.38","0.42"
"81542",Pacs del Penedès,"0.16","0.36","0.27","0.4"
"81555",Palafolls,"0.41","0.44","0.46","0.46"
"81568",Palau-solità i Plegamans,"0.34","0.3","0.43","0.5"
"81574",Pallejà,"0.35","0.36","0.43","0.46"
"81593",Parets del Vallès,"0.24","0.23","0.34","0.41"
"81635",Pineda de Mar,"0.33","0.4","0.4","0.41"
"81672",Polinyà,"0.28","0.27","0.41","0.46"
"81688",Pontons,"0.44","0.46","0.48","0.5"
"82303",Premià de Dalt,"0.34","0.37","0.41","0.44"
"81727",Premià de Mar,"0.09","0.19","0.21","0.21"
"81748",Puigdàlber,"0.16","0.27","0.21","0.34"
,RMB,"0.37","0.42","0.45","0.51"
"81799",Rellinars,"0.46","0.52","0.51","0.62"
"81803",Ripollet,"0.16","0.22","0.27","0.28"
"81846",Rubí,"0.31","0.34","0.42","0.43"
"81878",Sabadell,"0.29","0.3","0.38","0.48"
"81944",Sant Adrià de Besòs,"0.1","0.16","0.19","0.22"
"81960",Sant Andreu de la Barca,"0.2","0.25","0.32","0.32"
"81976",Sant Andreu de Llavaneres,"0.47","0.43","0.47","0.53"
"81982",Sant Antoni de Vilamajor,"0.4","0.4","0.5","0.57"
"82009",Sant Boi de Llobregat,"0.23","0.25","0.31","0.32"
"82037",Sant Cebrià de Vallalta,"0.5","0.54","0.53","0.57"
"82021",Sant Celoni,"0.53","0.58","0.58","0.61"
"82042",Sant Climent de Llobregat,"0.45","0.48","0.52","0.57"
"82055",Sant Cugat del Vallès,"0.41","0.41","0.48","0.5"
"82068",Sant Cugat Sesgarrigues,"0.18","0.38","0.26","0.41"
"82074",Sant Esteve de Palautordera,"0.51","0.5","0.54","0.64"
"82080",Sant Esteve Sesrovires,"0.3","0.36","0.41","0.42"
"82107",Sant Feliu de Codines,"0.45","0.55","0.54","0.65"
"82114",Sant Feliu de Llobregat,"0.31","0.32","0.4","0.44"
"82093",Sant Fost de Campsentelles,"0.44","0.42","0.49","0.55"
"81939",Sant Iscle de Vallalta,"0.56","0.6","0.6","0.62"
"82172",Sant Joan Despí,"0.18","0.24","0.28","0.33"
"82212",Sant Just Desvern,"0.32","0.33","0.42","0.45"
"82227",Sant Llorenç d'Hortons,"0.27","0.38","0.38","0.47"
"82233",Sant Llorenç Savall,"0.4","0.51","0.52","0.63"
"82270",Sant Martí Sarroca,"0.25","0.39","0.31","0.42"
"82310",Sant Pere de Ribes,"0.29","0.39","0.39","0.4"
"82325",Sant Pere de Riudebitlles,"0.24","0.36","0.39","0.41"
"82346",Sant Pere de Vilamajor,"0.55","0.56","0.55","0.67"
"82359",Sant Pol de Mar,"0.42","0.44","0.42","0.46"
"82362",Sant Quintí de Mediona,"0.28","0.38","0.41","0.45"
"82384",Sant Quirze del Vallès,"0.38","0.37","0.46","0.54"
"82397",Sant Quirze Safaja,"0.49","0.6","0.58","0.68"
"82401",Sant Sadurní d'Anoia,"0.21","0.34","0.34","0.43"
"82649",Sant Vicenç de Montalt,"0.45","0.42","0.45","0.53"
"82634",Sant Vicenç dels Horts,"0.26","0.29","0.36","0.38"
"82444",Santa Coloma de Cervelló,"0.33","0.35","0.43","0.47"
"82457",Santa Coloma de Gramenet,"0.23","0.25","0.33","0.34"
"82482",Santa Eulàlia de Ronçana,"0.33","0.38","0.47","0.56"
"82495",Santa Fe del Penedès,"0.17","0.32","0.25","0.43"
"82515",Santa Margarida i els Monjos,"0.2","0.38","0.35","0.4"
"82567",Santa Maria de Martorelles,"0.51","0.52","0.57","0.67"
"82592",Santa Maria de Palautordera,"0.43","0.46","0.49","0.55"
"82606",Santa Perpètua de Mogoda,"0.21","0.23","0.35","0.4"
"82613",Santa Susanna,"0.43","0.48","0.49","0.5"
"82671",Sentmenat,"0.41","0.43","0.51","0.6"
"82704",Sitges,"0.34","0.37","0.38","0.42"
"82732",Subirats,"0.34","0.39","0.39","0.48"
"82763",Tagamanent,"0.56","0.62","0.58","0.67"
"82819",Teià,"0.34","0.36","0.41","0.43"
"82798",Terrassa,"0.39","0.38","0.45","0.56"
"82824",Tiana,"0.33","0.39","0.42","0.47"
"82845",Tordera,"0.49","0.53","0.53","0.54"
"82877",Torrelavit,"0.21","0.35","0.35","0.42"
"82883",Torrelles de Foix,"0.36","0.41","0.42","0.45"
"82896",Torrelles de Llobregat,"0.47","0.48","0.52","0.57"
"82900",Ullastrell,"0.43","0.47","0.52","0.62"
"82917",Vacarisses,"0.45","0.47","0.51","0.61"
"82943",Vallgorguina,"0.56","0.61","0.59","0.63"
"82956",Vallirana,"0.4","0.43","0.45","0.5"
"82969",Vallromanes,"0.5","0.52","0.55","0.67"
"83015",Viladecans,"0.24","0.28","0.31","0.34"
"83008",Viladecavalls,"0.45","0.44","0.48","0.6"
"83054",Vilafranca del Penedès,"0.14","0.32","0.27","0.37"
"83067",Vilalba Sasserra,"0.53","0.58","0.56","0.63"
"89024",Vilanova del Vallès,"0.42","0.41","0.51","0.59"
"83073",Vilanova i la Geltrú,"0.22","0.33","0.34","0.34"
"82140",Vilassar de Dalt,"0.44","0.43","0.47","0.56"
"82191",Vilassar de Mar,"0.2","0.21","0.24","0.24"
"83041",Vilobí del Penedès,"0.15","0.34","0.23","0.41"
