B30	AMB	RMB
Badia del Vallès	Badalona	Abrera
Barbera del Vallès	Badia del Vallès	Aiguafreda
Castellar del Vallès	Barbera del Vallès	Alella
Castellbisbal	Barcelona	Arenys de Mar
Cerdanyola del Vallès	Begues	Arenys de Munt
Granollers	Castellbisbal	Argentona
Martorell	Castelldefels	Avinyonet del Penedès
Mollet del Vallès	Cerdanyola del Vallès	Badalona
Montmeló	Cervelló	Badia del Vallès
Montornès del Vallès	Corbera de Llobregat	Barbera del Vallès
Palau-solità i Plegamans	Cornellà  de Llobregat	Barcelona
Papiol, el	Esplugues de Llobregat	Begues
Parets del Vallès	Gavà 	Bigues i Riells
Polinyà 	Hospitalet de Llobregat, l'	Cabrera de Mar
Ripollet	Molins de Rei	Cabrils
Rubi	Montcada i Reixac	Caldes d'Estrac
Sabadell	Montgat	Caldes de Montbui
Sant Cugat del Vallès	Pallejà 	Calella
Sant Quirze del Vallès	Palma de Cervelló, la	Campins
Santa Perpètua de Mogoda	Papiol, el	Canet de Mar
Terrassa	Prat de Llobregat, el	Canovelles
	Ripollet	Cànoves i Samalús
Vilanova del Vallès	Sant Adrià de Besòs	Canyelles
	Sant Andreu de la Barca	Cardedeu
	Sant Climent de Llobregat	Castellar del Vallès
	Sant Cugat del Vallès	Castellbisbal
	Sant Feliu de Llobregat	Castellcir
	Sant Joan Despí	Castelldefels
	Sant Just Desvern	Castellet i la Gornal
	Sant Vicenç dels Horts	Castellterçol
	Santa Coloma de Cervelló	Castellví­ de la Marca
	Santa Coloma de Gramenet	Castellví de Rosanes
	Tiana	Cerdanyola del Vallès
	Torrelles de Llobregat	Cervelló
	Viladecans	Collbató
		Corbera de Llobregat
		Cornellà  de Llobregat
		Cubelles
		Dosrius
		el Masnou
		el Pla del Penedès
		Esparreguera
		Esplugues de Llobregat
		Figaró-Montmany
		Fogars de Montclús
		Font-rubí
		Gallifa
		Gavà 
		Gelida
		Granera
		Granollers
		Gualba
		Hospitalet de Llobregat, l'
		l'Ametlla del Vallès
		la Garriga
		la Granada
		la Llagosta
		la Roca del Vallès
		les Cabanyes
		les Franqueses del Vallès
		Lliçà  d'Amunt
		Lliçà  de Vall
		Llinars del Vallès
		Malgrat de Mar
		Martorell
		Martorelles
		Matadepera
		Mataró
		Mediona
		Molins de Rei
		Mollet del Vallès
		Montcada i Reixac
		Montgat
		Montmeló
		Montornès del Vallès
		Montseny
		Olèrdola
		Olesa de Bonesvalls
		Olesa de Montserrat
		Olivella
		Òrrius
		Pacs del Penedès
		Palafolls
		Palau-solità i Plegamans
		Pallejà 
		Palma de Cervelló, la
		Papiol, el
		Parets del Vallès
		Pineda de Mar
		Polinyà 
		Pontons
		Prat de Llobregat, el
		Premià  de Dalt
		Premià  de Mar
		Puigdà lber
		Rellinars
		Ripollet
		Rubi
		Sabadell
		Sant Adrià de Besòs
		Sant Andreu de la Barca
		Sant Andreu de Llavaneres
		Sant Antoni de Vilamajor
		Sant Boi de Llobregat
		Sant Cebrià  de Vallalta
		Sant Celoni
		Sant Climent de Llobregat
		Sant Cugat del Vallès
		Sant Cugat Sesgarrigues
		Sant Esteve de Palautordera
		Sant Esteve Sesrovires
		Sant Feliu de Codines
		Sant Feliu de Llobregat
		Sant Fost de Campsentelles
		Sant Iscle de Vallalta
		Sant Joan Despí
		Sant Just Desvern
		Sant Llorenç d'Hortons
		Sant Llorenç Savall
		Sant Martí­ Sarroca
		Sant Pere de Ribes
		Sant Pere de Riudebitlles
		Sant Pere de Vilamajor
		Sant Pol de Mar
		Sant Quintí de Mediona
		Sant Quirze del Vallès
		Sant Quirze Safaja
		Sant Sadurní d'Anoia
		Sant Vicenç de Montalt
		Sant Vicenç dels Horts
		Santa Coloma de Cervelló
		Santa Coloma de Gramenet
		Santa Eulàlia de Ronçana
		Santa Fe del Penedès
		Santa Margarida i els Monjos
		Santa Maria de Martorelles
		Santa Maria de Palautordera
		Santa Perpètua de Mogoda
		Santa Susanna
		Sentmenat
		Sitges
		Subirats
		Tagamanent
		Teià
		Terrassa
		Tiana
		Tordera
		Torrelavit
		Torrelles de Foix
		Torrelles de Llobregat
		Ullastrell
		Vacarisses
		Vallgorguina
		Vallirana
		Vallromanes
		Viladecans
		Viladecavalls
		Vilafranca del Penedès
		Vilalba Sasserra
		Vilanova del Vallès
		Vilanova i la Geltrú
		Vilassar de Dalt
		Vilassar de Mar
		Vilobí del Penedès
